mileage,Age,stroke_values,Light Type,price
43313,13,4 stroke,Double Light,770000
75000,8,4 stroke,Double Light,950000
65000,9,4 stroke,Double Light,825000
44331,16,4 stroke,Single Light,580000
12345,28,2 stroke,Single Light,215000
99000,21,2 stroke,Single Light,480000
53342,14,4 stroke,Double Light,630000
12345,8,4 stroke,Double Light,925000
64210,9,4 stroke,Double Light,880000
56700,11,4 stroke,Double Light,765000
26500,7,4 stroke,Double Light,1205000
50000,8,4 stroke,Double Light,930000
100000,9,4 stroke,Double Light,880000
75000,19,2 stroke,Single Light,480000
92000,25,2 stroke,Single Light,250000
38000,7,4 stroke,Double Light,1125000
60000,18,4 stroke,Single Light,530000
65000,9,4 stroke,Double Light,935000
63453,10,4 stroke,Double Light,900000
44313,11,4 stroke,Double Light,830000
35000,25,2 stroke,Single Light,328000
8646,5,4 stroke,Double Light,1250000
35276,7,4 stroke,Double Light,1100000
55000,12,4 stroke,Double Light,760000
40000,8,4 stroke,Double Light,945000
75000,8,4 stroke,Double Light,1075000
68000,9,4 stroke,Double Light,690000
30000,8,4 stroke,Double Light,980000
65000,11,4 stroke,Double Light,850000
75000,15,4 stroke,Single Light,670000
44313,8,4 stroke,Double Light,1050000
90000,8,4 stroke,Double Light,1150000
35000,8,4 stroke,Double Light,940000
44431,12,4 stroke,Double Light,770000
60000,11,4 stroke,Double Light,850000
80000,15,4 stroke,Single Light,800000
65000,9,4 stroke,Double Light,840000
32134,12,4 stroke,Double Light,810000
30000,4,4 stroke,Double Light,1400000
75000,25,2 stroke,Single Light,450000
21588,9,4 stroke,Double Light,890000
56000,13,4 stroke,Double Light,850000
86466,17,4 stroke,Single Light,575000
25000,12,4 stroke,Double Light,800000
11220,17,2 stroke,Single Light,515000
45000,11,4 stroke,Double Light,775000
75420,13,4 stroke,Double Light,800000
17250,9,4 stroke,Double Light,930000
30000,9,4 stroke,Double Light,990000
20000,10,4 stroke,Double Light,850000
35000,10,4 stroke,Double Light,895000
100000,8,4 stroke,Double Light,1250000
44313,9,4 stroke,Double Light,860000
170000,27,2 stroke,Single Light,289500
110000,10,4 stroke,Double Light,1025000
23000,6,4 stroke,Double Light,1335000
65000,18,4 stroke,Single Light,485000
50000,15,4 stroke,Single Light,750000
22000,13,4 stroke,Double Light,800000
63000,11,4 stroke,Double Light,850000
50000,14,4 stroke,Double Light,675000
45356,17,2 stroke,Single Light,640000
100000,17,2 stroke,Single Light,503000
32154,11,4 stroke,Double Light,880000
150000,27,2 stroke,Single Light,355000
56984,5,4 stroke,Double Light,1080000
30000,7,4 stroke,Double Light,1150000
43000,12,4 stroke,Double Light,785000
56233,16,4 stroke,Single Light,545000
73000,13,4 stroke,Double Light,750000
45000,15,4 stroke,Single Light,710000
25000,10,4 stroke,Double Light,880000
50000,10,4 stroke,Double Light,925000
24000,5,4 stroke,Double Light,1400000
68000,12,4 stroke,Double Light,800000
55000,8,4 stroke,Double Light,1100000
63000,32,2 stroke,Single Light,277000
42432,18,2 stroke,Single Light,575000
85000,17,2 stroke,Single Light,750000
53000,10,4 stroke,Double Light,825000
73400,13,4 stroke,Double Light,675000
100000,24,2 stroke,Single Light,350000
72530,12,4 stroke,Double Light,715000
32500,16,4 stroke,Single Light,630000
21000,10,4 stroke,Double Light,830000
100000,13,4 stroke,Double Light,700000
100000,20,2 stroke,Single Light,563000
54433,25,2 stroke,Single Light,340000
96000,12,4 stroke,Double Light,950000
50000,10,4 stroke,Double Light,850000
69854,9,4 stroke,Double Light,950000
321132,24,2 stroke,Single Light,358000
31000,9,4 stroke,Double Light,976000
56844,12,4 stroke,Double Light,690000
65212,18,4 stroke,Single Light,395000
75000,18,2 stroke,Single Light,575000
50000,12,4 stroke,Double Light,820000
50000,13,4 stroke,Double Light,600000
45000,25,2 stroke,Single Light,430000
26000,5,4 stroke,Double Light,1440000
75000,19,2 stroke,Single Light,530000
45000,20,2 stroke,Single Light,470000
25000,7,4 stroke,Double Light,950000
68000,8,4 stroke,Double Light,865000
95000,19,2 stroke,Single Light,550000
230963,26,2 stroke,Single Light,325000
48000,12,4 stroke,Double Light,832000
40000,9,4 stroke,Double Light,900000
50000,13,4 stroke,Double Light,675000
90000,8,4 stroke,Double Light,965000
20000,24,2 stroke,Single Light,400000
69060,13,4 stroke,Double Light,900000
45000,5,4 stroke,Double Light,1250000
32500,21,2 stroke,Single Light,320000
321541,24,2 stroke,Single Light,268000
63000,18,2 stroke,Single Light,330000
22429,20,2 stroke,Single Light,450000
88000,10,4 stroke,Double Light,800000
120000,26,2 stroke,Single Light,278000
27630,12,4 stroke,Double Light,780000
56000,9,4 stroke,Double Light,775000
20000,12,4 stroke,Double Light,710000
23889,24,2 stroke,Single Light,355000
30000,13,4 stroke,Double Light,720000
65343,8,4 stroke,Double Light,1050000
74512,12,4 stroke,Double Light,780000
31000,5,4 stroke,Double Light,1325000
27000,28,2 stroke,Single Light,320000
40000,14,4 stroke,Double Light,710000
36700,25,2 stroke,Single Light,290000
100000,17,4 stroke,Single Light,503000
50000,19,2 stroke,Single Light,470000
35000,11,4 stroke,Double Light,850000
37000,9,4 stroke,Double Light,850000
80000,12,4 stroke,Double Light,825000
125800,19,2 stroke,Single Light,450000
58000,11,4 stroke,Double Light,750000
100000,21,2 stroke,Single Light,395000
20000,8,4 stroke,Double Light,960000
43323,20,2 stroke,Single Light,525000
44000,9,4 stroke,Double Light,895000
8300,9,4 stroke,Double Light,890000
150000,25,2 stroke,Single Light,350000
114580,11,4 stroke,Double Light,1050000
45535,14,4 stroke,Double Light,660000
45000,22,2 stroke,Single Light,475000
55000,11,4 stroke,Double Light,820000
42568,10,4 stroke,Double Light,775000
30000,6,4 stroke,Double Light,1270000
80000,13,4 stroke,Double Light,550000
26045,8,4 stroke,Double Light,1050000
65000,8,4 stroke,Double Light,907800
100000,19,2 stroke,Single Light,443000
150000,19,2 stroke,Single Light,600000
87000,11,4 stroke,Double Light,870000
59600,8,4 stroke,Double Light,1050000
65000,8,4 stroke,Double Light,1000000
48000,14,4 stroke,Double Light,750000
32152,14,4 stroke,Double Light,595000
89300,23,2 stroke,Single Light,350000
74380,11,4 stroke,Double Light,770000
17000,6,4 stroke,Double Light,980000
52243,28,2 stroke,Single Light,198000
65000,18,4 stroke,Single Light,495000
33442,7,4 stroke,Double Light,1000000
74512,8,4 stroke,Double Light,895000
44313,15,4 stroke,Single Light,695000
35000,7,4 stroke,Double Light,1125000
20000,2,4 stroke,Double Light,1750000
73526,15,4 stroke,Single Light,525000
32587,8,4 stroke,Double Light,1000000
31000,8,4 stroke,Double Light,1250000
52368,10,4 stroke,Double Light,860000
62604,7,4 stroke,Double Light,1050000
55000,13,4 stroke,Double Light,740000
98654,14,4 stroke,Double Light,785000
50000,11,4 stroke,Double Light,870000
25000,8,4 stroke,Double Light,800000
85976,9,4 stroke,Double Light,875000
64000,8,4 stroke,Double Light,995000
45000,7,4 stroke,Double Light,1075000
40000,12,4 stroke,Double Light,675000
46000,5,4 stroke,Double Light,1250000
35000,11,4 stroke,Double Light,850000
45000,9,4 stroke,Double Light,1050000
35000,10,4 stroke,Double Light,970000
35000,4,4 stroke,Double Light,1125000
46000,6,4 stroke,Double Light,1075000
12345,5,4 stroke,Double Light,1210000
50000,19,2 stroke,Single Light,395000
43352,7,4 stroke,Double Light,950000
62000,9,4 stroke,Double Light,950000
46000,6,4 stroke,Double Light,1200000
45000,18,4 stroke,Single Light,610000
35000,13,4 stroke,Double Light,625000
54431,13,4 stroke,Double Light,710000
54000,11,4 stroke,Double Light,830000
145122,29,2 stroke,Single Light,165000
25000,8,4 stroke,Double Light,1015000
70000,15,4 stroke,Single Light,600000
45000,17,2 stroke,Single Light,650000
71223,11,4 stroke,Double Light,800000
25000,7,4 stroke,Double Light,1110000
60000,7,4 stroke,Double Light,970000
20000,9,4 stroke,Double Light,945000
45834,9,4 stroke,Double Light,940000
70000,11,4 stroke,Double Light,830000
75000,13,4 stroke,Double Light,650000
12345,20,2 stroke,Single Light,480000
65412,11,4 stroke,Double Light,860000
26889,13,4 stroke,Double Light,740000
54842,11,4 stroke,Double Light,950000
45000,17,2 stroke,Single Light,640000
47995,10,4 stroke,Double Light,900000
48000,12,4 stroke,Double Light,790000
65412,16,4 stroke,Single Light,610000
45000,12,4 stroke,Double Light,600000
85623,15,4 stroke,Single Light,560000
68000,20,2 stroke,Single Light,625000
45400,8,4 stroke,Double Light,980000
20000,12,4 stroke,Double Light,768000
72000,9,4 stroke,Double Light,900000
27000,6,4 stroke,Double Light,1130000
65000,13,4 stroke,Double Light,750000
60000,10,4 stroke,Double Light,820000
40000,18,2 stroke,Single Light,470000
40000,9,4 stroke,Double Light,1035000
112370,18,2 stroke,Single Light,450000
40000,6,4 stroke,Double Light,1090000
90700,23,2 stroke,Single Light,288000
65800,17,2 stroke,Single Light,510000
14568,12,4 stroke,Double Light,780000
89562,17,4 stroke,Single Light,580000
65000,17,2 stroke,Single Light,550000
56700,14,4 stroke,Double Light,640000
44331,6,4 stroke,Double Light,1040000
21827,9,4 stroke,Double Light,950000
31900,8,4 stroke,Double Light,855000
40000,5,4 stroke,Double Light,1180000
32000,4,4 stroke,Double Light,1670000
50000,23,2 stroke,Single Light,380000
60000,14,4 stroke,Double Light,600000
32400,7,4 stroke,Double Light,1070000
45000,7,4 stroke,Double Light,1180000
32000,8,4 stroke,Double Light,890000
50000,11,4 stroke,Double Light,950000
38500,17,4 stroke,Single Light,735000
25000,14,4 stroke,Double Light,585000
75230,8,4 stroke,Double Light,1090000
66312,12,4 stroke,Double Light,760000
89000,8,4 stroke,Double Light,1080000
25000,10,4 stroke,Double Light,800000
40000,16,4 stroke,Single Light,610000
150000,21,2 stroke,Single Light,500000
54000,13,4 stroke,Double Light,650000
50000,21,2 stroke,Single Light,470000
50000,4,4 stroke,Double Light,1450000
44321,8,4 stroke,Double Light,980000
18135,11,4 stroke,Double Light,725000
40000,33,2 stroke,Single Light,280000
85000,8,4 stroke,Double Light,900000
89000,18,2 stroke,Single Light,690000
212142,25,2 stroke,Single Light,520000
42000,7,4 stroke,Double Light,1190000
45000,23,2 stroke,Single Light,350000
30000,7,4 stroke,Double Light,1200000
59000,13,4 stroke,Double Light,655000
21588,10,4 stroke,Double Light,960000
79562,13,4 stroke,Double Light,730000
46000,10,4 stroke,Double Light,940000
75500,9,4 stroke,Double Light,910000
120000,15,4 stroke,Single Light,650000
75326,10,4 stroke,Double Light,840000
50000,12,4 stroke,Double Light,820000
53342,5,4 stroke,Double Light,1075000
25000,11,4 stroke,Double Light,810000
57857,20,2 stroke,Single Light,500000
45000,18,4 stroke,Single Light,450000
40000,14,4 stroke,Double Light,650000
72000,10,4 stroke,Double Light,865000
62727,14,4 stroke,Double Light,580000
21758,7,4 stroke,Double Light,1150000
54000,15,4 stroke,Single Light,470000
62929,20,2 stroke,Single Light,480000
50000,12,4 stroke,Double Light,760000
88500,9,4 stroke,Double Light,900000
42000,12,4 stroke,Double Light,700000
57000,17,2 stroke,Single Light,585000
74320,17,4 stroke,Single Light,794000
34687,8,4 stroke,Double Light,1050000
49434,8,4 stroke,Double Light,1020000
12345,9,4 stroke,Double Light,710000
20000,7,4 stroke,Double Light,1050000
20000,21,2 stroke,Single Light,385000
45000,13,4 stroke,Double Light,810000
74512,11,4 stroke,Double Light,900000
45000,5,4 stroke,Double Light,1350000
66000,13,4 stroke,Double Light,680000
85300,16,4 stroke,Single Light,425000
49000,8,4 stroke,Double Light,950000
25000,11,4 stroke,Double Light,795000
49000,16,4 stroke,Single Light,500000
43313,11,4 stroke,Double Light,775000
87220,17,2 stroke,Single Light,550000
51000,13,4 stroke,Double Light,825000
52688,16,4 stroke,Single Light,565000
73246,10,4 stroke,Double Light,720000
42000,9,4 stroke,Double Light,875000
32152,27,2 stroke,Single Light,350000
53327,7,4 stroke,Double Light,1200000
25000,13,4 stroke,Double Light,800000
88000,20,2 stroke,Single Light,500000
150000,19,2 stroke,Single Light,450000
85461,16,4 stroke,Single Light,520000
63854,15,4 stroke,Single Light,450000
85000,17,2 stroke,Single Light,455000
42266,10,4 stroke,Double Light,970000
25498,9,4 stroke,Double Light,860000
50000,8,4 stroke,Double Light,930000
84275,16,4 stroke,Single Light,545000
45710,23,2 stroke,Single Light,360000
35000,11,4 stroke,Double Light,815000
12345,12,4 stroke,Double Light,585000
45000,13,4 stroke,Double Light,690000
24000,20,2 stroke,Single Light,430000
76000,15,4 stroke,Single Light,640000
48563,8,4 stroke,Double Light,1000000
35000,10,4 stroke,Double Light,795000
65541,9,4 stroke,Double Light,950000
73899,14,4 stroke,Double Light,650000
65000,16,4 stroke,Single Light,545000
32580,9,4 stroke,Double Light,1050000
50000,19,2 stroke,Single Light,600000
50000,20,2 stroke,Single Light,450000
45000,7,4 stroke,Double Light,1060000
45661,32,2 stroke,Single Light,265000
52000,11,4 stroke,Double Light,775000
65000,17,2 stroke,Single Light,660000
35000,19,2 stroke,Single Light,680000
60000,16,4 stroke,Single Light,420000
74526,8,4 stroke,Double Light,1150000
29000,8,4 stroke,Double Light,980000
25000,12,4 stroke,Double Light,695000
46276,19,2 stroke,Single Light,550000
32000,13,4 stroke,Double Light,545000
25000,12,4 stroke,Double Light,695000
35552,25,2 stroke,Single Light,470000
17000,18,2 stroke,Single Light,500000
57000,11,4 stroke,Double Light,925000
30000,6,4 stroke,Double Light,1200000
32152,21,2 stroke,Single Light,370000
44331,27,2 stroke,Single Light,220000
75000,20,2 stroke,Single Light,385000
24423,12,4 stroke,Double Light,690000
50000,12,4 stroke,Double Light,680000
43500,12,4 stroke,Double Light,750000
44331,20,2 stroke,Single Light,440000
100000,10,4 stroke,Double Light,765000
56000,8,4 stroke,Double Light,1115000
60000,10,4 stroke,Double Light,1050000
20000,17,2 stroke,Single Light,550000
46000,10,4 stroke,Double Light,870000
35000,12,4 stroke,Double Light,730000
40000,9,4 stroke,Double Light,895000
32154,15,4 stroke,Single Light,645000
32134,16,4 stroke,Single Light,545000
50000,13,4 stroke,Double Light,595000
85000,20,2 stroke,Single Light,520000
20000,9,4 stroke,Double Light,960000
25000,8,4 stroke,Double Light,1025000
73260,8,4 stroke,Double Light,1015000
20000,16,4 stroke,Single Light,565000
30000,14,4 stroke,Double Light,650000
34000,8,4 stroke,Double Light,1050000
14500,4,4 stroke,Double Light,1425000
55300,9,4 stroke,Double Light,925000
85258,16,4 stroke,Single Light,500000
55000,12,4 stroke,Double Light,1000000
50000,12,4 stroke,Double Light,740000
50000,15,4 stroke,Single Light,513000
44431,17,4 stroke,Single Light,685000
100000,16,4 stroke,Single Light,740000
70000,23,2 stroke,Single Light,400000
20000,18,2 stroke,Single Light,590000
32154,11,4 stroke,Double Light,880000
30000,10,4 stroke,Double Light,820000
45000,11,4 stroke,Double Light,860000
12345,14,4 stroke,Double Light,460000
32151,9,4 stroke,Double Light,780000
73256,17,2 stroke,Single Light,580000
34341,20,2 stroke,Single Light,550000
44331,9,4 stroke,Double Light,895000
44440,8,4 stroke,Double Light,1025000
76584,17,2 stroke,Single Light,650000
46000,23,2 stroke,Single Light,316000
100000,19,2 stroke,Single Light,463000
36000,18,4 stroke,Single Light,530000
56231,9,4 stroke,Double Light,895000
87346,17,2 stroke,Single Light,485000
124000,14,4 stroke,Double Light,710000
50000,7,4 stroke,Double Light,1025000
60000,11,4 stroke,Double Light,780000
32580,4,4 stroke,Double Light,1650000
35000,12,4 stroke,Double Light,850000
55000,7,4 stroke,Double Light,1080000
66000,10,4 stroke,Double Light,945000
74512,9,4 stroke,Double Light,950000
90000,16,4 stroke,Single Light,750000
31289,7,4 stroke,Double Light,1150000
42685,18,2 stroke,Single Light,600000
32152,13,4 stroke,Double Light,665000
42000,12,4 stroke,Double Light,990000
50000,8,4 stroke,Double Light,1150000
41359,12,4 stroke,Double Light,920000
52367,9,4 stroke,Double Light,950000
144313,19,2 stroke,Single Light,530000
35621,11,4 stroke,Double Light,810000
50000,18,2 stroke,Single Light,530000
35215,5,4 stroke,Double Light,1235000
80000,12,4 stroke,Double Light,725000
65000,5,4 stroke,Double Light,1084640
15800,7,4 stroke,Double Light,1045000
46827,16,4 stroke,Single Light,525000
60000,10,4 stroke,Double Light,650000
60000,9,4 stroke,Double Light,950000
59000,7,4 stroke,Double Light,1050000
75326,12,4 stroke,Double Light,750000
88000,26,2 stroke,Single Light,375000
67000,16,4 stroke,Single Light,680000
80000,14,4 stroke,Double Light,680000
44443,16,4 stroke,Single Light,500000
45000,8,4 stroke,Double Light,930000
100000,25,2 stroke,Single Light,320000
56000,9,4 stroke,Double Light,775000
30000,9,4 stroke,Double Light,1020000
60000,19,2 stroke,Single Light,445000
32145,4,4 stroke,Double Light,1400000
52000,8,4 stroke,Double Light,975000
50000,13,4 stroke,Double Light,625000
40000,17,2 stroke,Single Light,570000
100000,9,4 stroke,Double Light,1000000
100000,13,4 stroke,Double Light,670000
75600,10,4 stroke,Double Light,955000
144313,20,2 stroke,Single Light,410000
48000,11,4 stroke,Double Light,875000
59000,9,4 stroke,Double Light,985000
123456,20,2 stroke,Single Light,350000
50000,13,4 stroke,Double Light,650000
69000,8,4 stroke,Double Light,1225000
86541,17,2 stroke,Single Light,565000
85421,18,4 stroke,Single Light,615000
44423,10,4 stroke,Double Light,790000
55000,15,4 stroke,Single Light,720000
50000,12,4 stroke,Double Light,765000
63000,19,2 stroke,Single Light,630000
34000,10,4 stroke,Double Light,760000
50000,14,4 stroke,Double Light,650000
67000,25,2 stroke,Single Light,400000
98651,24,2 stroke,Single Light,295000
45000,17,4 stroke,Single Light,800000
125111,13,4 stroke,Double Light,685000
39042,9,4 stroke,Double Light,1100000
35000,17,2 stroke,Single Light,575000
23154,18,4 stroke,Single Light,630000
36661,13,4 stroke,Double Light,770000
28000,5,4 stroke,Double Light,1250000
42300,16,4 stroke,Single Light,540000
60000,23,2 stroke,Single Light,410000
86192,14,4 stroke,Double Light,630000
67000,8,4 stroke,Double Light,825000
25000,8,4 stroke,Double Light,900000
32500,12,4 stroke,Double Light,790000
13000,11,4 stroke,Double Light,820000
75000,17,4 stroke,Single Light,610000
43313,25,2 stroke,Single Light,278000
74512,7,4 stroke,Double Light,1050000
25000,14,4 stroke,Double Light,600000
56465,7,4 stroke,Double Light,1035000
98565,14,4 stroke,Double Light,540000
23152,12,4 stroke,Double Light,780000
32113,30,2 stroke,Single Light,295000
21458,13,4 stroke,Double Light,850000
78000,11,4 stroke,Double Light,890000
45666,13,4 stroke,Double Light,750000
75362,12,4 stroke,Double Light,795000
28000,12,4 stroke,Double Light,820000
65522,12,4 stroke,Double Light,650000
75000,16,4 stroke,Single Light,405000
56775,18,2 stroke,Single Light,490000
100000,17,2 stroke,Single Light,503000
50000,16,4 stroke,Single Light,610000
60000,20,2 stroke,Single Light,430000
50000,18,2 stroke,Single Light,520000
